"started_at","ended_at","duration","start_station_id","start_station_name","start_station_description","start_station_latitude","start_station_longitude","end_station_id","end_station_name","end_station_description","end_station_latitude","end_station_longitude"
"2019-09-01 02:20:29.671000+00:00","2019-09-01 02:31:45.085000+00:00","675","189","City Chambers","City Chambers Quadrangle","55.95010933017899","-3.190257770093808","357","Macdonald Road","Macdonald Road","55.963995150971236","-3.1851887678931234"
"2019-09-01 02:45:11.935000+00:00","2019-09-01 02:48:38.519000+00:00","206","358","Leith Walk","Leith Walk opposite Dalmeny Street","55.96503980507732","-3.1766864147848537","358","Leith Walk","Leith Walk opposite Dalmeny Street","55.96503980507732","-3.1766864147848537"
"2019-09-01 02:51:37.166000+00:00","2019-09-01 04:54:27.834000+00:00","7370","358","Leith Walk","Leith Walk opposite Dalmeny Street","55.96503980507732","-3.1766864147848537","358","Leith Walk","Leith Walk opposite Dalmeny Street","55.96503980507732","-3.1766864147848537"
"2019-09-01 02:52:12.096000+00:00","2019-09-01 04:53:55.064000+00:00","7302","358","Leith Walk","Leith Walk opposite Dalmeny Street","55.96503980507732","-3.1766864147848537","358","Leith Walk","Leith Walk opposite Dalmeny Street","55.96503980507732","-3.1766864147848537"
"2019-09-01 03:12:16.134000+00:00","2019-09-01 03:24:48.597000+00:00","752","882","EICC","Between planters next to EICC","55.94604282192561","-3.210484908343801","262","Canonmills","near Tesco's","55.96280408759764","-3.196283585062929"
"2019-09-01 04:10:17.373000+00:00","2019-09-01 04:35:16.297000+00:00","1498","344","Marchmont Crescent","Corner of Marchmont Crescent & Marchmont Road","55.936397496743666","-3.194252202886105","262","Canonmills","near Tesco's","55.96280408759764","-3.196283585062929"
"2019-09-01 04:46:06.945000+00:00","2019-09-01 05:03:30.734000+00:00","1043","290","Bruntsfield links","Corner of Bruntsfield Terrace and Bruntsfield Place","55.93715871276677","-3.206435329645956","366","Dudley Gardens","Corner of Dudley Gardens on Newhaven Road","55.97592062794979","-3.1913460792943624"
"2019-09-01 06:22:35.665000+00:00","2019-09-01 07:04:38.907000+00:00","2523","344","Marchmont Crescent","Corner of Marchmont Crescent & Marchmont Road","55.936397496743666","-3.194252202886105","285","Ocean Terminal","Debenhams / Puregym entrance","55.981286014792985","-3.176351263805259"
"2019-09-01 06:51:31.018000+00:00","2019-09-01 06:59:16.523000+00:00","465","260","Lauriston Place","near Chalmers Street","55.944771652335476","-3.1972658564195626","259","St Andrew Square","North East corner","55.95490573198223","-3.192443756949956"
"2019-09-01 07:05:45.127000+00:00","2019-09-01 07:41:00.971000+00:00","2115","285","Ocean Terminal","Debenhams / Puregym entrance","55.981286014792985","-3.176351263805259","247","Charlotte Square","North Corner of Charlotte Square","55.95233546161639","-3.2071011721072864"
